iter	Passed	Remaining
0	85	428579
1	108	272204
2	134	223949
3	158	198052
4	193	193406
5	222	185253
6	241	172112
7	257	160720
8	273	151565
9	291	145400
10	310	140916
11	324	134720
12	342	131394
13	360	128262
14	376	125048
15	390	121621
16	409	119900
17	448	124070
18	461	120946
19	476	118564
20	492	116828
21	520	117845
22	539	116789
23	558	115781
24	570	113446
25	579	110872
26	588	108328
27	597	106152
28	607	104148
29	616	102123
30	626	100436
31	658	102214
32	685	103118
33	705	103058
34	730	103659
35	746	102901
36	765	102621
37	781	102043
38	795	101179
39	813	100851
40	832	100666
41	847	100001
42	865	99750
43	884	99625
44	901	99215
45	917	98850
46	935	98597
47	947	97800
48	970	98060
49	986	97685
50	996	96729
51	1027	97816
52	1054	98439
53	1081	99015
54	1107	99574
55	1143	100949
56	1204	104477
57	1226	104521
58	1241	103942
59	1252	103159
60	1263	102296
61	1276	101637
62	1307	102442
63	1325	102232
64	1340	101789
65	1354	101227
66	1373	101109
67	1399	101536
68	1412	100965
69	1423	100273
70	1438	99834
71	1451	99322
72	1473	99430
73	1489	99143
74	1518	99694
75	1548	100321
76	1575	100715
77	1585	100044
78	1596	99471
79	1621	99725
80	1650	100220
81	1674	100407
82	1687	99976
83	1701	99601
84	1714	99127
85	1726	98636
86	1745	98563
87	1758	98154
88	1769	97631
89	1796	98028
90	1812	97779
91	1830	97628
92	1847	97475
93	1868	97500
94	1881	97170
95	1898	96959
96	1913	96722
97	1932	96670
98	1960	97067
99	1975	96803
100	1987	96404
101	2022	97119
102	2035	96776
103	2048	96457
104	2065	96275
105	2081	96108
106	2098	95970
107	2112	95687
108	2131	95658
109	2148	95510
110	2164	95338
111	2180	95162
112	2201	95198
113	2215	94956
114	2230	94742
115	2248	94655
116	2264	94516
117	2277	94217
118	2293	94068
119	2311	93990
120	2327	93847
121	2360	94393
122	2375	94185
123	2393	94131
124	2422	94467
125	2452	94877
126	2467	94694
127	2486	94629
128	2498	94343
129	2511	94070
130	2524	93837
131	2541	93743
132	2557	93575
133	2578	93622
134	2593	93456
135	2614	93502
136	2631	93403
137	2644	93162
138	2659	93012
139	2676	92923
140	2704	93202
141	2723	93169
142	2740	93079
143	2754	92896
144	2768	92688
145	2784	92574
146	2796	92307
147	2810	92124
148	2825	92005
149	2838	91777
150	2848	91467
151	2859	91204
152	2870	90934
153	2891	90976
154	2904	90803
155	2917	90593
156	2930	90392
157	2940	90117
158	2950	89830
159	2960	89557
160	2971	89305
161	2981	89054
162	3010	89340
163	3028	89304
164	3042	89160
165	3058	89068
166	3076	89029
167	3094	88993
168	3107	88821
169	3116	88553
170	3129	88382
171	3143	88235
172	3155	88054
173	3169	87917
174	3182	87741
175	3202	87768
176	3217	87664
177	3226	87413
178	3238	87226
179	3254	87136
180	3282	87404
181	3297	87288
182	3306	87039
183	3319	86890
184	3331	86708
185	3343	86530
186	3359	86469
187	3371	86287
188	3386	86196
189	3415	86457
190	3443	86704
191	3467	86842
192	3490	86936
193	3521	87239
194	3539	87227
195	3559	87247
196	3576	87187
197	3610	87558
198	3622	87391
199	3637	87296
200	3648	87113
201	3663	87024
202	3675	86864
203	3690	86771
204	3718	86977
205	3749	87251
206	3773	87365
207	3789	87293
208	3801	87154
209	3814	87002
210	3832	86986
211	3848	86908
212	3863	86826
213	3876	86702
214	3887	86510
215	3897	86328
216	3915	86302
217	3932	86269
218	3948	86210
219	3961	86078
220	3994	86368
221	4032	86795
222	4045	86668
223	4063	86643
224	4079	86583
225	4102	86660
226	4118	86606
227	4130	86447
228	4142	86308
229	4163	86349
230	4181	86327
231	4213	86600
232	4228	86503
233	4244	86443
234	4261	86415
235	4293	86679
236	4310	86632
237	4327	86585
238	4343	86520
239	4357	86421
240	4373	86366
241	4389	86298
242	4429	86709
243	4457	86894
244	4473	86825
245	4490	86788
246	4506	86715
247	4528	86763
248	4548	86780
249	4568	86798
250	4584	86744
251	4610	86861
252	4630	86881
253	4644	86785
254	4658	86680
255	4681	86759
256	4696	86680
257	4718	86718
258	4736	86698
259	4752	86649
260	4764	86500
261	4775	86353
262	4791	86298
263	4806	86231
264	4816	86060
265	4833	86030
266	4854	86045
267	4881	86194
268	4893	86066
269	4906	85962
270	4918	85825
271	4928	85663
272	4943	85598
273	4965	85650
274	4975	85487
275	5007	85705
276	5025	85681
277	5044	85682
278	5063	85676
279	5079	85623
280	5101	85668
281	5119	85655
282	5138	85653
