date,opening,high,low,ending
2007-01-04 00:00:00,17322.5,17379.46,17315.75,17353.66
2007-01-05 00:00:00,17315.53,17327.13,17011.09,17091.58
2007-01-09 00:00:00,17018.89,17261.02,16983.97,17237.76
2007-01-10 00:00:00,17192.41,17199.41,16847.57,16942.4
2007-01-11 00:00:00,16958.57,17057.44,16758.46,16838.16
2007-01-12 00:00:00,16979.73,17160.76,16941.39,17057
2007-01-15 00:00:00,17160.25,17273.58,17144.43,17209.91
2007-01-16 00:00:00,17190.9,17287.96,17175.84,17202.46
2007-01-17 00:00:00,17153.25,17335.02,17002.66,17261.34
2007-01-18 00:00:00,17248.14,17408.61,17220.41,17370.92
2007-01-19 00:00:00,17340.38,17378.21,17242.76,17310.43
2007-01-22 00:00:00,17429.9,17484.58,17401.32,17424.17
2007-01-23 00:00:00,17350.31,17442,17321.28,17408.57
2007-01-24 00:00:00,17505.31,17553.02,17498.35,17507.4
2007-01-25 00:00:00,17604.59,17617.64,17427.53,17458.3
2007-01-26 00:00:00,17368.05,17421.92,17300.83,17421.92
2007-01-29 00:00:00,17393.18,17489.58,17319.36,17470.46
2007-01-30 00:00:00,17510,17558.52,17452.63,17490.18
2007-01-31 00:00:00,17493.83,17497.85,17275.83,17383.41
2007-02-01 00:00:00,17377.02,17543.96,17361,17519.5
2007-02-02 00:00:00,17569.16,17633.6,17532.64,17547.1
2007-02-05 00:00:00,17531.41,17531.41,17294.98,17344.8
2007-02-06 00:00:00,17384.5,17433.26,17345.09,17406.85
2007-02-07 00:00:00,17367.91,17374.82,17199.66,17292.32
2007-02-08 00:00:00,17368.34,17400.34,17212.77,17292.48
2007-02-09 00:00:00,17339.56,17545.71,17274.89,17504.33
2007-02-13 00:00:00,17481.76,17628.02,17440.42,17621.44
2007-02-14 00:00:00,17662.28,17789.91,17648.81,17752.64
2007-02-15 00:00:00,17891.24,17911.58,17815.16,17897.23
2007-02-16 00:00:00,17828.77,17884.89,17793.34,17875.65
2007-02-19 00:00:00,17835.13,17974,17810.05,17940.08
2007-02-20 00:00:00,17919.33,17953.02,17828.94,17939.11
2007-02-21 00:00:00,17896.59,17968.25,17850.08,17913.21
2007-02-22 00:00:00,18033.23,18132.83,18024.48,18108.78
2007-02-23 00:00:00,18113.56,18239.13,18046.41,18188.41
2007-02-26 00:00:00,18219.75,18300.39,18145.41,18215.34
2007-02-27 00:00:00,18239.3,18272.67,18073.22,18119.91
2007-02-28 00:00:00,17843.6,17843.6,17382.78,17604.11
2007-03-01 00:00:00,17542.23,17557.41,17261.59,17453.5
2007-03-02 00:00:00,17351.4,17356.44,17160.42,17217.92
2007-03-05 00:00:00,16992.43,16992.43,16532.91,16642.25
2007-03-06 00:00:00,16654.84,16882.91,16649.09,16844.5
2007-03-07 00:00:00,16982.3,16988,16731.76,16764.61
2007-03-08 00:00:00,16729.78,17090.31,16685.94,17090.31
2007-03-09 00:00:00,17224.66,17246.21,17100.74,17164.03
2007-03-12 00:00:00,17312.14,17325.44,17206.93,17292.39
2007-03-13 00:00:00,17268.71,17299.48,17153.19,17178.83
2007-03-14 00:00:00,16936.18,16936.18,16628.84,16676.89
2007-03-15 00:00:00,16803.99,16942.31,16760.67,16860.39
2007-03-16 00:00:00,16779.48,16939.42,16643.75,16744.15
2007-03-19 00:00:00,16713.99,17026.46,16713.99,17009.55
2007-03-20 00:00:00,17155.34,17267.74,17146.52,17163.19
2007-03-22 00:00:00,17383.61,17489.18,17379.4,17419.19
2007-03-23 00:00:00,17519.5,17534.76,17407.97,17480.6
2007-03-26 00:00:00,17517.91,17558.03,17425,17521.96
2007-03-27 00:00:00,17357.25,17516.89,17315.91,17365.05
2007-03-28 00:00:00,17328.11,17442.61,17141.65,17254.73
2007-03-29 00:00:00,17119.94,17350.88,17036.22,17263.93
2007-03-30 00:00:00,17318.84,17380.8,17267.09,17287.65
2007-04-02 00:00:00,17346.25,17425.74,16999.05,17028.41
2007-04-03 00:00:00,17154.77,17279.73,17095.91,17244.05
2007-04-04 00:00:00,17400.67,17576.5,17394.14,17544.08
2007-04-05 00:00:00,17507.46,17531.3,17430.38,17491.41
2007-04-06 00:00:00,17502.9,17560.3,17422.55,17484.77
2007-04-09 00:00:00,17606.02,17747.82,17606.02,17743.75
2007-04-10 00:00:00,17631.01,17706.91,17613.15,17664.68
2007-04-11 00:00:00,17699.39,17723.39,17618.18,17670.07
2007-04-12 00:00:00,17601.65,17601.65,17455.17,17540.41
2007-04-13 00:00:00,17629.01,17662.89,17327.36,17363.94
2007-04-16 00:00:00,17507.17,17696.86,17507.17,17628.3
2007-04-17 00:00:00,17750.66,17782.08,17452.11,17527.44
2007-04-18 00:00:00,17557.4,17706.84,17538.33,17667.33
2007-04-19 00:00:00,17530,17530,17219.73,17371.97
2007-04-20 00:00:00,17471.56,17502.01,17404.61,17452.61
2007-04-23 00:00:00,17589.6,17656.55,17413.64,17455.36
2007-04-24 00:00:00,17363.83,17500.33,17305.77,17451.76
2007-04-25 00:00:00,17379.51,17379.51,17221.55,17236.16
2007-04-26 00:00:00,17359.83,17496.1,17321.05,17429.16
2007-04-27 00:00:00,17377.03,17542.25,17299.36,17400.41
2007-05-01 00:00:00,17396.3,17396.3,17203.02,17274.98
2007-05-02 00:00:00,17310.75,17441.1,17227.09,17394.92
2007-05-07 00:00:00,17564.17,17715.99,17558.24,17669.83
2007-05-08 00:00:00,17651.47,17711.67,17587.92,17656.84
2007-05-09 00:00:00,17616.58,17753.33,17616.58,17748.12
2007-05-10 00:00:00,17793.49,17827.48,17712.89,17736.96
2007-05-11 00:00:00,17616.02,17616.02,17455.28,17553.72
2007-05-14 00:00:00,17682.74,17786.65,17673.86,17677.94
2007-05-15 00:00:00,17577.14,17609.55,17491.59,17512.98
2007-05-16 00:00:00,17487,17539.95,17430.7,17529
2007-05-17 00:00:00,17586.33,17656.07,17482.44,17498.6
2007-05-18 00:00:00,17563.53,17563.53,17320.81,17399.58
2007-05-21 00:00:00,17455.55,17599.35,17411.51,17556.87
2007-05-22 00:00:00,17578.31,17730.84,17545.26,17680.05
2007-05-23 00:00:00,17763.15,17802.71,17699.12,17705.12
2007-05-24 00:00:00,17680.45,17760.57,17606.56,17696.97
2007-05-25 00:00:00,17529.27,17529.27,17370.18,17481.21
2007-05-28 00:00:00,17544.98,17630.37,17544.67,17587.59
2007-05-29 00:00:00,17524.82,17700.52,17521.64,17672.56
2007-05-30 00:00:00,17664.37,17727.17,17484.3,17588.26
2007-05-31 00:00:00,17715.77,17875.75,17701.57,17875.75
2007-06-01 00:00:00,17949.92,18017.73,17943.68,17958.88
2007-06-04 00:00:00,18067.9,18071.8,17973.42,17973.42
2007-06-05 00:00:00,18019.79,18071.72,17950.45,18053.81
2007-06-06 00:00:00,18001.2,18073.05,17991.19,18040.93
2007-06-07 00:00:00,17879.01,18053.38,17866.52,18053.38
2007-06-08 00:00:00,17904.68,17904.68,17696.51,17779.09
2007-06-11 00:00:00,17899.02,17932.1,17801.63,17834.48
2007-06-12 00:00:00,17845.22,17862.99,17735.56,17760.91
2007-06-13 00:00:00,17631.87,17781.41,17591.93,17732.77
2007-06-14 00:00:00,17834.78,17875.02,17815.3,17842.29
2007-06-15 00:00:00,17945.84,18007.99,17930.34,17971.49
2007-06-18 00:00:00,18127.41,18194.26,18112.93,18149.52
2007-06-19 00:00:00,18131.59,18163.61,18103.56,18163.61
2007-06-20 00:00:00,18173.07,18297,18141.95,18211.68
2007-06-21 00:00:00,18117.3,18287.73,18107.81,18240.3
2007-06-22 00:00:00,18177.89,18200.11,18092.36,18188.63
2007-06-25 00:00:00,18107.68,18203.56,18079.85,18087.48
2007-06-26 00:00:00,18098.33,18101.89,18008.6,18066.11
2007-06-27 00:00:00,17981.77,17983.35,17848.05,17849.28
2007-06-28 00:00:00,17915.63,17960.22,17893.37,17932.27
2007-06-29 00:00:00,18010.5,18144.63,17973.5,18138.36
2007-07-02 00:00:00,18139.04,18175.3,18062.49,18146.3
2007-07-03 00:00:00,18206.49,18230.89,18146.74,18149.9
2007-07-04 00:00:00,18158.77,18207.97,18143.58,18168.72
2007-07-05 00:00:00,18191.89,18295.27,18191.89,18221.48
2007-07-06 00:00:00,18184.64,18184.64,18086.01,18140.94
2007-07-09 00:00:00,18226.07,18282.15,18213.59,18261.98
2007-07-10 00:00:00,18244.69,18259.81,18204.04,18252.67
2007-07-11 00:00:00,18116.66,18116.66,18028.87,18049.51
2007-07-12 00:00:00,18105.89,18130.44,17919.17,17984.14
2007-07-13 00:00:00,18161.02,18268.64,18150.99,18238.95
2007-07-17 00:00:00,18269.36,18269.36,18167.82,18217.27
2007-07-18 00:00:00,18136.06,18136.06,17964.28,18015.58
2007-07-19 00:00:00,18095.95,18131.12,18037.33,18116.57
2007-07-20 00:00:00,18148.6,18223.04,18124.74,18157.93
2007-07-23 00:00:00,17995.71,18009.47,17892.75,17963.64
2007-07-24 00:00:00,17998.76,18018.94,17906.11,18002.03
2007-07-25 00:00:00,17810.97,17881.31,17733.96,17858.42
2007-07-26 00:00:00,17807.23,17861.47,17678.98,17702.09
2007-07-27 00:00:00,17454.59,17454.59,17196.16,17283.81
2007-07-30 00:00:00,17138.53,17289.3,17042.66,17289.3
2007-07-31 00:00:00,17318.01,17318.01,17195.29,17248.89
2007-08-01 00:00:00,17169.2,17169.2,16845.54,16870.98
2007-08-02 00:00:00,16956.33,16999.16,16652.8,16984.11
2007-08-03 00:00:00,17019.8,17102.07,16913.27,16979.86
2007-08-06 00:00:00,16781.14,16951.98,16675.39,16914.46
2007-08-07 00:00:00,17009.63,17049.45,16863.46,16921.77
2007-08-08 00:00:00,16930.39,17085.1,16911.68,17029.28
2007-08-09 00:00:00,17170.36,17274.33,17148.95,17170.6
2007-08-10 00:00:00,16923.21,16948.96,16651.71,16764.09
2007-08-13 00:00:00,16791.8,16948.4,16725.55,16800.05
2007-08-14 00:00:00,16824.63,16855.05,16747.94,16844.61
2007-08-15 00:00:00,16659.07,16667.36,16433.3,16475.61
2007-08-16 00:00:00,16296.4,16296.4,15859.46,16148.49
2007-08-17 00:00:00,16035.38,16062.59,15262.1,15273.68
2007-08-20 00:00:00,15477.26,15940.61,15477.26,15732.48
2007-08-21 00:00:00,15773.86,16101.64,15754.51,15901.34
2007-08-22 00:00:00,15866.6,15957.96,15787.96,15900.64
2007-08-23 00:00:00,16093.82,16333.36,16093.82,16316.32
2007-08-24 00:00:00,16286.01,16329.96,16188.08,16248.97
2007-08-27 00:00:00,16429.01,16504.72,16263.95,16301.39
2007-08-28 00:00:00,16214.09,16343.28,16192.84,16287.49
2007-08-29 00:00:00,16068.1,16068.1,15830.28,16012.83
2007-08-30 00:00:00,16182.09,16269.66,16091.28,16153.82
2007-08-31 00:00:00,16270.99,16569.09,16266.23,16569.09
2007-09-03 00:00:00,16511.07,16575.97,16452.74,16524.93
2007-09-04 00:00:00,16445.73,16511.64,16392.21,16420.47
2007-09-05 00:00:00,16506.11,16553.22,16154.9,16158.45
2007-09-06 00:00:00,16003.88,16257,15840.05,16257
2007-09-07 00:00:00,16179.78,16230.58,16027.93,16122.16
