ds,y
2007-01-04,17353.66
2007-01-05,17091.58
2007-01-09,17237.76
2007-01-10,16942.4
2007-01-11,16838.16
2007-01-12,17057
2007-01-15,17209.91
2007-01-16,17202.46
2007-01-17,17261.34
2007-01-18,17370.92
2007-01-19,17310.43
2007-01-22,17424.17
2007-01-23,17408.57
2007-01-24,17507.4
2007-01-25,17458.3
2007-01-26,17421.92
2007-01-29,17470.46
2007-01-30,17490.18
2007-01-31,17383.41
2007-02-01,17519.5
2007-02-02,17547.1
2007-02-05,17344.8
2007-02-06,17406.85
2007-02-07,17292.32
2007-02-08,17292.48
2007-02-09,17504.33
2007-02-13,17621.44
2007-02-14,17752.64
2007-02-15,17897.23
2007-02-16,17875.65
2007-02-19,17940.08
2007-02-20,17939.11
2007-02-21,17913.21
2007-02-22,18108.78
2007-02-23,18188.41
2007-02-26,18215.34
2007-02-27,18119.91
2007-02-28,17604.11
2007-03-01,17453.5
2007-03-02,17217.92
2007-03-05,16642.25
2007-03-06,16844.5
2007-03-07,16764.61
2007-03-08,17090.31
2007-03-09,17164.03
2007-03-12,17292.39
2007-03-13,17178.83
2007-03-14,16676.89
2007-03-15,16860.39
2007-03-16,16744.15
2007-03-19,17009.55
2007-03-20,17163.19
2007-03-22,17419.19
2007-03-23,17480.6
2007-03-26,17521.96
2007-03-27,17365.05
2007-03-28,17254.73
2007-03-29,17263.93
2007-03-30,17287.65
2007-04-02,17028.41
2007-04-03,17244.05
2007-04-04,17544.08
2007-04-05,17491.41
2007-04-06,17484.77
2007-04-09,17743.75
2007-04-10,17664.68
2007-04-11,17670.07
2007-04-12,17540.41
2007-04-13,17363.94
2007-04-16,17628.3
2007-04-17,17527.44
2007-04-18,17667.33
2007-04-19,17371.97
2007-04-20,17452.61
2007-04-23,17455.36
2007-04-24,17451.76
2007-04-25,17236.16
2007-04-26,17429.16
2007-04-27,17400.41
2007-05-01,17274.98
2007-05-02,17394.92
2007-05-07,17669.83
2007-05-08,17656.84
2007-05-09,17748.12
2007-05-10,17736.96
2007-05-11,17553.72
2007-05-14,17677.94
2007-05-15,17512.98
2007-05-16,17529
2007-05-17,17498.6
2007-05-18,17399.58
2007-05-21,17556.87
2007-05-22,17680.05
2007-05-23,17705.12
2007-05-24,17696.97
2007-05-25,17481.21
2007-05-28,17587.59
2007-05-29,17672.56
2007-05-30,17588.26
2007-05-31,17875.75
2007-06-01,17958.88
2007-06-04,17973.42
2007-06-05,18053.81
2007-06-06,18040.93
2007-06-07,18053.38
2007-06-08,17779.09
2007-06-11,17834.48
2007-06-12,17760.91
2007-06-13,17732.77
2007-06-14,17842.29
2007-06-15,17971.49
2007-06-18,18149.52
2007-06-19,18163.61
2007-06-20,18211.68
2007-06-21,18240.3
2007-06-22,18188.63
2007-06-25,18087.48
2007-06-26,18066.11
2007-06-27,17849.28
2007-06-28,17932.27
2007-06-29,18138.36
2007-07-02,18146.3
2007-07-03,18149.9
2007-07-04,18168.72
2007-07-05,18221.48
2007-07-06,18140.94
2007-07-09,18261.98
2007-07-10,18252.67
2007-07-11,18049.51
2007-07-12,17984.14
2007-07-13,18238.95
2007-07-17,18217.27
2007-07-18,18015.58
2007-07-19,18116.57
2007-07-20,18157.93
2007-07-23,17963.64
2007-07-24,18002.03
2007-07-25,17858.42
2007-07-26,17702.09
2007-07-27,17283.81
2007-07-30,17289.3
2007-07-31,17248.89
2007-08-01,16870.98
2007-08-02,16984.11
2007-08-03,16979.86
2007-08-06,16914.46
2007-08-07,16921.77
2007-08-08,17029.28
2007-08-09,17170.6
2007-08-10,16764.09
2007-08-13,16800.05
2007-08-14,16844.61
2007-08-15,16475.61
2007-08-16,16148.49
2007-08-17,15273.68
2007-08-20,15732.48
2007-08-21,15901.34
2007-08-22,15900.64
2007-08-23,16316.32
2007-08-24,16248.97
2007-08-27,16301.39
2007-08-28,16287.49
2007-08-29,16012.83
2007-08-30,16153.82
2007-08-31,16569.09
2007-09-03,16524.93
2007-09-04,16420.47
2007-09-05,16158.45
2007-09-06,16257
2007-09-07,16122.16
2007-09-10,15764.97
2007-09-11,15877.67
2007-09-12,15797.6
2007-09-13,15821.19
2007-09-14,16127.42
2007-09-18,15801.8
2007-09-19,16381.54
2007-09-20,16413.79
2007-09-21,16312.61
2007-09-25,16401.73
2007-09-26,16435.74
2007-09-27,16832.22
2007-09-28,16785.69
2007-10-01,16845.96
2007-10-02,17046.78
2007-10-03,17199.89
2007-10-04,17092.49
2007-10-05,17065.04
2007-10-09,17159.9
2007-10-10,17177.89
2007-10-11,17458.98
2007-10-12,17331.17
2007-10-15,17358.15
2007-10-16,17137.92
2007-10-17,16955.31
2007-10-18,17106.09
2007-10-19,16814.37
2007-10-22,16438.47
2007-10-23,16450.58
2007-10-24,16358.39
2007-10-25,16284.17
2007-10-26,16505.63
2007-10-29,16698.08
2007-10-30,16651.01
2007-10-31,16737.63
2007-11-01,16870.4
2007-11-02,16517.48
2007-11-05,16268.92
2007-11-06,16249.63
2007-11-07,16096.68
2007-11-08,15771.57
2007-11-09,15583.42
2007-11-12,15197.09
2007-11-13,15126.63
2007-11-14,15499.56
2007-11-15,15396.3
2007-11-16,15154.61
2007-11-19,15042.56
2007-11-20,15211.52
2007-11-21,14837.66
2007-11-22,14888.77
2007-11-26,15135.21
2007-11-27,15222.85
2007-11-28,15153.78
2007-11-29,15513.74
2007-11-30,15680.67
2007-12-03,15628.97
2007-12-04,15480.19
2007-12-05,15608.88
2007-12-06,15874.08
2007-12-07,15956.37
2007-12-10,15924.39
2007-12-11,16044.72
2007-12-12,15932.26
2007-12-13,15536.52
2007-12-14,15514.51
2007-12-17,15249.79
2007-12-18,15207.86
2007-12-19,15030.51
2007-12-20,15031.6
2007-12-21,15257
2007-12-25,15552.59
2007-12-26,15653.54
2007-12-27,15564.69
2007-12-28,15307.78
2008-01-04,14691.41
2008-01-07,14500.55
2008-01-08,14528.67
2008-01-09,14599.16
2008-01-10,14388.11
2008-01-11,14110.79
2008-01-15,13972.63
2008-01-16,13504.51
2008-01-17,13783.45
2008-01-18,13861.29
2008-01-21,13325.94
2008-01-22,12573.05
2008-01-23,12829.06
2008-01-24,13092.78
2008-01-25,13629.16
2008-01-28,13087.91
2008-01-29,13478.86
2008-01-30,13345.03
2008-01-31,13592.47
2008-02-01,13497.16
2008-02-04,13859.7
2008-02-05,13745.5
2008-02-06,13099.24
2008-02-07,13207.15
2008-02-08,13017.24
2008-02-12,13021.96
2008-02-13,13068.3
2008-02-14,13626.45
2008-02-15,13622.56
2008-02-18,13635.4
2008-02-19,13757.91
2008-02-20,13310.37
2008-02-21,13688.28
2008-02-22,13500.46
2008-02-25,13914.57
2008-02-26,13824.72
2008-02-27,14031.3
2008-02-28,13925.51
2008-02-29,13603.02
2008-03-03,12992.18
2008-03-04,12992.28
2008-03-05,12972.06
2008-03-06,13215.42
2008-03-07,12782.8
2008-03-10,12532.13
2008-03-11,12658.28
2008-03-12,12861.13
2008-03-13,12433.44
2008-03-14,12241.6
2008-03-17,11787.51
2008-03-18,11964.16
2008-03-19,12260.44
2008-03-21,12482.57
2008-03-24,12480.09
2008-03-25,12745.22
2008-03-26,12706.63
2008-03-27,12604.58
2008-03-28,12820.47
2008-03-31,12525.54
2008-04-01,12656.42
2008-04-02,13189.36
2008-04-03,13389.9
2008-04-04,13293.22
2008-04-07,13450.23
2008-04-08,13250.43
2008-04-09,13111.89
2008-04-10,12945.3
2008-04-11,13323.73
2008-04-14,12917.51
2008-04-15,12990.58
2008-04-16,13146.13
2008-04-17,13398.3
2008-04-18,13476.45
2008-04-21,13696.55
2008-04-22,13547.82
2008-04-23,13579.16
2008-04-24,13540.87
2008-04-25,13863.47
2008-04-28,13894.37
2008-04-30,13849.99
2008-05-01,13766.86
2008-05-02,14049.26
2008-05-07,14102.48
2008-05-08,13943.26
2008-05-09,13655.34
2008-05-12,13743.36
2008-05-13,13953.73
2008-05-14,14118.55
2008-05-15,14251.74
2008-05-16,14219.48
2008-05-19,14269.61
2008-05-20,14160.09
2008-05-21,13926.3
2008-05-22,13978.46
2008-05-23,14012.2
2008-05-26,13690.19
2008-05-27,13893.31
2008-05-28,13709.44
2008-05-29,14124.47
2008-05-30,14338.54
2008-06-02,14440.14
2008-06-03,14209.17
2008-06-04,14435.57
2008-06-05,14341.12
2008-06-06,14489.44
2008-06-09,14181.38
2008-06-10,14021.17
2008-06-11,14183.48
2008-06-12,13888.6
2008-06-13,13973.73
2008-06-16,14354.37
2008-06-17,14348.37
2008-06-18,14452.82
2008-06-19,14130.17
2008-06-20,13942.08
2008-06-23,13857.47
2008-06-24,13849.56
2008-06-25,13829.92
2008-06-26,13822.32
2008-06-27,13544.36
2008-06-30,13481.38
2008-07-01,13463.2
2008-07-02,13286.37
2008-07-03,13265.4
